title,tag,weather,time,cost,copy,copy_one,copy_two,DateNumber,neighborhood,link
Nha Trang,Restaurant,All,Day and Night,$,You should...,go to Nha Trang in Chinatown,and don't make any 'Nam jokes. ,Any,M,http://m.mainstreethub.com/nhatrangone
Maharlika,Restaurant,All,Day and Night,$$,You should...,eat at Maharlika in the East Village,and don't drink too much water. ,Any,M,http://maharlikanyc.com/
Maialino,Restaurant,All,Day and Night,$$$,You should...,go to Maialino in Gramercy,and order one of everything for dessert. ,Any,M,http://maialinonyc.com/
Manhattan Proper,Bar,All,Day and Night,$$,You should...,drink at Manhattan Proper in Tribeca,and get improper with your date.,Any,M,http://manhattanproper.com/
Masha and the Bear,Bar,All,Day and Night,$$,You should...,drink vodka on tap at Masha and the Bear in Williamsburg,"and role-play. You be Masha, I'll be the bear. ",Any,B,http://mashaandthebear.nyc/
Mayfield,Bar,All,Day and Night,$$,You should...,have some booze at Mayfield in Crown Heights,and you may get to feel up your date. ,Any,B,http://mayfieldbk.com/
Mei Li Wah,Restaurant,All,Day and Night,$,You should...,go to Mei Li Wah in Chinatown,and trade phones to look at each other's photos. ,Any,M,http://meiliwah.com/
Merchants River House,Restaurant,All,Day and Night,$$,You should...,eat at Merchants River House in Battery Park,and pretend the view is of something other than Jersey. ,Any,M,http://merchantsriverhouse.com/
Mesa Coyoacan,Restaurant,All,Day and Night,$$,You should...,go to Mesa Coyoacan in Williamsburg,and be nice to your waiter. ,Any,B,http://mesacoyoacan.com/
Mile End,Restaurant,All,Day and Night,$$,You should...,go to Mile End Deli in Boerum Hill,and don't let the smiles end. ,Any,B,http://mileenddeli.com/locations-menus/boerum-hill/
Milk and Roses,Coffee,All,Day,$,You should...,get coffee at Milk and Roses in Greenpoint,but you shouldn't bring flowers. ,Any,B,http://milkandrosesbk.com/
Momofuku Milk Bar Williamsburg,Activity,All,Day and Night,$$,You should...,go to Momofuku Milk Bar Williamsburg,and buy an extra cookie to give to a homeless person. ,Any,B,http://milkbarstore.com/main/stores/
Momofuku Milk Bar Midtown,Activity,All,Day and Night,$$,You should...,go to Momofuku Milk Bar Midtown,and eat some of your date's cookie. ,Any,M,http://milkbarstore.com/main/stores/
PS1,Activity,Warm,Day,$$,You should...,go to PS1 on a Saturday,and talk about how you never go to Queens.,Any,N,http://momaps1.org/
Momofuku Milk Bar Soho,Activity,All,Day and Night,$$,You should...,go to Momofuku Milk Bar SoHo,and bring cookies back to your date's place to warm up in their microwave. ,Any,M,http://momofuku.com/
Momofuku Ssam Bar,Restaurant,All,Day and Night,$$$,You should...,go to Momofuku Ssam Bar,and discuss potential baby names. ,Any,M,http://momofuku.com/
Momofuku Noodle Bar,Restaurant,All,Day and Night,$$,You should...,go to Momofuku Noodle Bar,and discuss your views on abortion. ,Any,M,http://momofuku.com/
Momofuku Ko,Restaurant,All,Day and Night,$$$,You should...,go to Momofuku Ko,and good luck with the reservation!,Any,M,http://momofuku.com/
Momofuku Ma Peche,Restaurant,All,Day and Night,$$$,You should...,go to Momofuku Ma Peche,and make brunch plans for the next morning. ,Any,M,http://momofuku.com/
Momofuku Milk Bar EV,Activity,All,Day and Night,$$,You should...,go to Momofuku Milk Bar East Village,and suggest baking your own cookies for the next date. ,Any,M,http://momofuku.com/
Moustache,Restaurant,All,Day and Night,$$,You should...,eat at Moustache in the West Village,but not if you have a moustache. ,Any,M,http://moustachepitza.com/
Muchmore's,Coffee,All,Day,$,You should...,hang out at Muchmore's in Williamsburg,and share your biggest fear. ,Any,B,http://muchmoresnyc.com/
The Musket Room,Restaurant,All,Day and Night,$$,You should...,go to The Musket Room in Nolita,and ask your date which side of the Kanye/Taylor divide they're on. ,Any,M,http://musketroom.com/#/
Nancy Whiskey,Bar,All,Day and Night,$,You should...,go to Nancy Whiskey in Tribeca,and don't feel obligated to order whiskey. ,Any,M,http://nancywhiskeypub.com/
New Malaysia,Restaurant,All,Day and Night,$$,You should...,eat at New Malaysia in Chinatown,and then try a new position. ,Any,M,http://newmalaysiarestaurant.com/
Mets,Activity,Warm,Day and Night,$,You should...,take the train to watch a Mets game,"and catch a foul ball, then give it to your date. ",Any,N,http://newyork.mets.mlb.com/index.jsp?c_id=nym
Spin NYC,Activity,All,Day and Night,$$,You should...,play table tennis at Spin in Gramercy,and take a lot of breaks at the bar.,Any,M,http://newyork.wearespin.com/
Yankees,Activity,Warm,Day and Night,$,You should...,soak in the air at a Yankee game,and hope you get on the Kiss Cam.,Any,N,http://newyork.yankees.mlb.com/index.jsp?c_id=nyy
Nice Green Bo,Restaurant,All,Day and Night,$,You should...,go to Nice Green Bo in Chinatown,and be as nice as the green bo. ,Any,M,http://nicegreenbo.com/
Night of Joy,Bar,All,Day and Night,$$,You should...,have an herb cocktail at Night of Joy in Williamsburg,and then have a night of joy. ,Any,B,http://nightofjoybar.com/
No Malice Palace,Activity,All,Night,$,You should...,head to No Malice Palace in the East Village,and tear up the dance floor before you tear off each other's clothes.,2+,M,http://nomalice.com/
Noorman's Kil,Bar,All,Day and Night,$$,You should...,drink whiskey at Noorman's Kil in Williamsburg,and you're guaranteed to kill it. ,Any,B,http://noormanskil.com/
No Relation Vintage,Activity,All,Day,$,You should...,go shopping at No Relation Vintage in the East Village,and try to make each other laugh with your silly outfits.,Any,M,http://norelationvintage.com/
Northern Territory,Bar,Warm,Day and Night,$$,You should...,drink drinks at Northern Territory in Greenpoint,"and sit on the roof if it's warm, or if you don't care. ",Any,B,http://northernterritorybk.com/
Nurse Betty's,Bar,All,Day and Night,$$,You should...,get drunk at Nurse Bettie's on the LES,and then maybe do some role-playing. ,2+,M,http://nursebettie.com/
Botequim,Restaurant,All,Day and Night,$$$,You should...,eat at Botequim by Union Square,and talk about gay rights. ,Any,M,http://onefivehospitality.com/restaurants/botequim/
Otto's Tacos,Restaurant,All,Day and Night,$,You should...,go to Otto's Tacos in the East Village,"and if you're enjoying yourself, that's all that matters. ",Any,M,http://ottostacos.com/
Rapha,Coffee,All,Day,$,You should...,get coffee at Rapha in the West Village,and think about what your date's room looks like. ,Any,M,http://pages.rapha.cc/clubs/new-york
Paulie Gee's,Restaurant,All,Day and Night,$$,You should...,go to Paulie Gee's Pizza in Greenpoint,and have bright conversation in the dim lighting. ,Any,B,http://pauliegee.com/
Please Don't Tell,Bar,All,Night,$$$,You should...,sneak into Please Don't Tell in the East Village,and you're actually allowed to tell.,Any,M,http://pdtnyc.com/
Penelope,Restaurant,All,Day and Night,$$,You should...,eat at Penelope in Murray Hill,and wear your most comfortable outfit. ,Any,M,http://penelopenyc.com/
Volleyball on Pier 25,Activity,Warm,Day and Night,$,You should...,play volleyball on Pier 25 on the west side,and get sweaty together.,2+,M,http://pier25.com/beach-volleyball/
Mini Golf @ Pier 25,Activity,Warm,Day and Night,$,You should...,play mini golf at Pier 25 on the west side,and see if you can get a hole-in-one later that night.,Any,M,http://pier25.com/mini-golf/
Pies N Thighs,Restaurant,All,Day and Night,$$,You should...,go to Pies N Thighs in Williamsburg,"and before you know it, you'll have your hands on your date's thighs. ",Any,B,http://piesnthighs.com/
Pound and Pence,Bar,All,Day and Night,$$,You should...,have a beer at Pound and Pence in FiDi,and pay in dollars and cents. ,Any,M,http://poundandpence.com/
Prosperity Dumpling,Restaurant,All,Day and Night,$,You should...,go to Prosperity Dumpling in Chinatown,"and don't forget to put ""in bed"" at the end of your date. ",Any,M,http://prosperitydumpling.com/
Prune,Restaurant,All,Day and Night,$$$,You should...,eat at Prune in the East Village,and don't be boring. ,Any,M,http://prunerestaurant.com/
Puck Fair,Bar,All,Day and Night,$$,You should...,have a drink at Puck Fair in SoHo,and put on chapstick before so your lips aren't dry. ,Any,M,http://puckfairbarnyc.com/
Raines Law Room,Bar,All,Night,$$$,You should...,drink at Raines Law Room in Flatiron,and do something illegal later that night.,Any,M,http://raineslawroom.com/
Mu Ramen,Restaurant,All,Day and Night,$$,You should...,go to Mu Ramen in LIC,and don't think about the other people you've dated. ,Any,N,http://ramennyc.wix.com/popup
Ramona,Bar,All,Day and Night,$$,You should...,have an expensive cocktail at Ramona in Greenpoint,and make room in your heart for another person. ,Any,B,http://ramonabarnyc.com/
Rangers,Activity,All,Night,$$$,You should...,watch a Rangers game,and try not to spill beer on each other.,Any,M,http://rangers.nhl.com/
Raoul's,Restaurant,All,Day and Night,$$$,You should...,go to Raoul's in Soho,and give your date the benefit of the doubt. ,Any,M,http://raouls.com/
ICE cooking classes,Activity,All,Day and Night,$$$,You should...,take an ICE cooking class,and then cook something up in the bedroom. ,2+,M,http://recreational.ice.edu/
Red Rooster Harlem,Restaurant,All,Day and Night,$$$,You should...,go to Red Rooster Harlem,and don't make any cock jokes. ,Any,M,http://redroosterharlem.com/
Root Hill Cafe,Coffee,All,Day,$,You should...,go to Root Hill Cafe in Park Slope,and don't flirt with the barista. ,Any,B,http://roothillcafe.com/
Royal Bangladeshi,Restaurant,All,Day and Night,$,You should...,eat at Royal Bangladesh in the East Village,"and ask your date in advance what their favorite booze is, because you can BYOB. ",Any,M,http://royalfinedining.com/
Rubirosa,Restaurant,All,Day and Night,$$,You should...,go to Rubirosa in Nolita,and then be so loud the neighbors call in a noise complaint. ,Any,M,http://rubirosanyc.com/
SakaMai,Restaurant,All,Day and Night,$$,You should...,go to SakaMai on the LES,"and play ""Two Truths and a Lie.""",Any,M,http://sakamai.com/
Sel Rrose,Bar,All,Day and Night,$$,You should...,have a cocktail at Sel Rrose in LES,"and if your date runs their hands through their hair, that means they like you. ",Any,M,http://selrrose.com/
Sit and Wonder,Coffee,All,Day,$,You should...,get coffee at Sit and Wonder in Prospect Heights,"and sit, but actually have a conversation. ",Any,B,http://sitandwonder.org/
Sleep No More,Activity,All,Night,$$$,You should...,get tickets to Sleep No More,and then dissect what you think was happening.,2+,M,http://sleepnomorenyc.com/#share
Somtum Der,Restaurant,All,Day and Night,$$,You should...,eat at Somtum Der in the East Village,and then wink at your date's doorman. ,Any,M,http://somtumder.com/home_ny.html
Soul Fixins,Restaurant,All,Day and Night,$$,You should...,go to Soul Fixins in Chelsea,and feel the love fix your soul. ,Any,M,http://soulfixinsny.com/
The Soul Spot,Restaurant,All,Day and Night,$$,You should...,eat at The Soul Spot in Boerum Hill,and then find your date's pleasure spot. ,Any,B,http://soulspotrestaurant.com/
South 4th Bar and Cafe,Coffee,All,Day,$,You should...,go to South 4th Bar and Cafe on South 4th,and stroke your date's hair while you're kissing. ,Any,B,http://south4thbar.com/wordpress/
SRB NYC,Activity,All,Day,$$$,You should...,go bouldering at SRB NYC,and have a chalk fight.,2+,M,http://srbnyc.com/
Escape the Room,Activity,All,Day and Night,$$,You should...,escape the room together,and then lock yourself in a room somewhere.,2+,M,http://static.escapetheroomnyc.com/
Sundaes and Cones,Activity,All,Day and Night,$,You should...,go to Sundaes and Cones in the East Village,and get flavors your date likes so you can share. ,Any,M,http://sundaescones.com/
Pacificana,Restaurant,All,Day and Night,$$,You should...,go to Pacificana in Sunset Park,and spoonfeed your date a soup dumpling. ,2+,B,http://sunset-park.com/mall/PACIFICANA/
Supper,Restaurant,All,Day and Night,$$,You should...,go to Supper in the East Village,for any meal of the day. It's a misleading name. ,Any,M,http://supperrestaurant.com/
Sweet Chick Manhattan,Restaurant,All,Day and Night,$$,You should...,go to Sweet Chick Manhattan,"and discuss the inherent sexism of the term ""chick"". ",Any,M,http://sweetchicknyc.com/
Sweet Chick Williamsburg,Restaurant,All,Day and Night,$$,You should...,go to Sweet Chick Williamsburg,"and if your date doesn't like you, they're not the right person for you. ",Any,B,http://sweetchicknyc.com/
Tacombi,Restaurant,All,Day and Night,$$,You should...,get tacos at Tacombi in Nolita,"but maybe not on a weekend night, because it gets crowded. ",Any,M,http://tacombi.com/
Tandoor Palace,Restaurant,All,Day and Night,$,You should...,go to Tandoor Palace in FiDi,and take small bites. ,Any,M,http://tandoorpalacetogo.com/
Tavern 29,Bar,All,Day and Night,$$,You should...,go to Tavern 29 above Madison Square Park,and try to guess each other's birthdays. ,Any,M,http://tavern29.com/
Beauty Bar,Bar,All,Day and Night,$$,You should...,go to Beauty Bar on 14th Street,and tell your date they're beautiful. ,Any,M,http://thebeautybar.com/home-new-york/
The Clam,Restaurant,All,Day and Night,$$,You should...,go to The Clam in the West Village,and resist the urge to make dirty jokes about the name.,Any,M,http://theclamnyc.com/
The Drink,Bar,All,Day and Night,$$,You should...,have punch at The Drink in Williamsburg,and drink drinks until you're drunk. ,Any,B,http://thedrinkbrooklyn.com/
The Grocery,Restaurant,All,Day and Night,$$$,You should...,go to The Grocery in Carroll Gardens,it's a restaurant. ,Any,B,http://thegroceryrestaurant.com/
The Handy,Bar,All,Night,$$,You should...,drink cocktails at The Handy in SoHo,and don't just end the night with a handy. ,Any,M,http://thehandyliquorbar.com/
Lemon Ice King of Corona,Activity,Warm,Day,$,You should...,go to the Lemon Ice King of Corona,and both order dark colors so you both have stained tongues. ,Any,N,http://thelemonicekingofcorona.com/
Lexington Social,Bar,All,Day and Night,$$,You should...,go to Lexington Social in Harlem,and talk about the benefits of being anti-social. ,Any,M,http://thelexingtonsocialnyc.com/
The Redhead,Bar,All,Day and Night,$$,You should...,have a drink at The Redhead in the East Village,but probably not if your date's a ginger. ,Any,M,http://theredheadnyc.com/
The Rum House,Bar,All,Day and Night,$$,You should...,go to The Rum House in Midtown,and make Captain Jack Sparrow jokes. ,Any,M,http://therumhousenyc.com/
Skylark,Bar,All,Night,$$$,You should...,drink with a view at Skylark in Midtown,and do something spontaneous. ,Any,M,http://theskylarknyc.com/
